ID,Invoice Number,Description,Net Amount,Subject to VAt,VAT Amount,Total Amount
68,38,N=210 x online interviews,9000.00,TRUE,1575.00,10575.00
69,39,Flexilinks Online Staff Survey,5950.00,TRUE,1041.25,6991.25
70,40,Customer service workshop (Oct 2005),500.00,TRUE,87.50,587.50
71,41,November Billing for Customer Service and Job Start Retention Research,7700.00,TRUE,1347.50,9047.50
72,42,Two Days Consultancy as agreed @GBP500 / day,1000.00,TRUE,175.00,1175.00
73,43,Two Days Consultancy @GBP500/day,1000.00,TRUE,175.00,1175.00
74,44,Balance for Focus Groups against quote,1000.00,TRUE,175.00,1175.00
75,44,Accompanied Shops (as quoted),4200.00,TRUE,735.00,4935.00
76,44,Venue Hire for Groups,2150.00,TRUE,376.25,2526.25
77,44,Preparation & Production of Stimulus,400.00,TRUE,70.00,470.00
78,44,Travel & Accomodation (at cost),705.00,TRUE,123.38,828.38
79,44,Filming onto DVD for Non-Venue Groups (at cost),700.00,TRUE,122.50,822.50
80,45,December Billing for Customer Service and Retention Research,7700.00,TRUE,1347.50,9047.50
81,46,Consultancy Support for January,1000.00,TRUE,175.00,1175.00
82,47,January Billing for Customer Service and Retention Research,8200.00,TRUE,1435.00,9635.00
83,48,N70 PLUS First Stage Payment,17000.00,TRUE,2975.00,19975.00
84,49,First 50% fee for Project Trends,7075.00,TRUE,1238.13,8313.13
85,50,February billing for Customer Service and Retention Research,8200.00,TRUE,1435.00,9635.00
86,51,Additional fieldwork fees - as agreed with client,2160.00,TRUE,378.00,2538.00
87,52,February Consultancy Support,1000.00,TRUE,175.00,1175.00
88,52,Discounted against SRVEY01-2571,-193.50,TRUE,-33.86,-227.36
89,53,Second half Invoice for Project Trends,7075.00,TRUE,1238.13,8313.13
90,54,March Consultancy - 2 days,1000.00,TRUE,175.00,1175.00
91,55,N70 Plus Second Stage Payment,18000.00,TRUE,3150.00,21150.00
92,56,March billing for Customer Service and Retention Research,8200.00,TRUE,1435.00,9635.00
93,58,Analysis of Media and Call Stats for Carbon Trust,250.00,TRUE,43.75,293.75
94,59,50% of Final Invoice value for N90 PLUS study as agreed by Laura Richards,8750.00,TRUE,1531.25,10281.25
95,59,Second 50% of Final Invoice to be issued on project completion due 27th April 2006,0.00,FALSE,0.00,0.00
96,60,4x Qualitative Focus Groups for Interfloor,7200.00,TRUE,1260.00,8460.00
97,60,Provision of Filming and CCTV link for viewing,500.00,TRUE,87.50,587.50
98,61,April 2006 Research Billing,9000.00,TRUE,1575.00,10575.00
99,62,Initial 50% of total consultancy fees,2250.00,TRUE,393.75,2643.75
100,63,Initial Fees for Project Set-up and Pilot,3000.00,TRUE,525.00,3525.00
101,64,100 x additional jobseeker interviews for Birmingham,2500.00,TRUE,437.50,2937.50
102,65,Final Stage Invoice for completed N70 PLUS Study,18000.00,TRUE,3150.00,21150.00
103,66,Final Stage Invoice for N90 PLUS Study,8750.00,TRUE,1531.25,10281.25
104,67,Credited due to requirement to bill in a different way,0.00,FALSE,0.00,0.00
105,68,Trade Interviews as quoted,2500.00,TRUE,437.50,2937.50
106,68,First 50% of Online quantitative survey,5985.00,TRUE,1047.38,7032.38
107,69,North West Task Force Support Work building a strategic approach to Market Development,1000.00,TRUE,175.00,1175.00
108,70,North West Task Force Support in Building a Strategic Approach to New markets,1000.00,TRUE,175.00,1175.00
109,71,People Satisfaction Survey - online survey amongst Working Links People (as agreed),9000.00,TRUE,1575.00,10575.00
110,67,Please offset against Inv 67 dated 5th May 2006,0.00,FALSE,0.00,0.00
111,72,Final Invoice for Parkhead Social Impact Pilot,3000.00,TRUE,525.00,3525.00
112,73,Final Invoice for Online Survey of Carpet Buyers,5605.00,TRUE,980.88,6585.88
113,73,less 12.5% Commission,-2723.75,TRUE,-476.66,-3200.41
114,74,Project Broker - Set up and analysis,1200.00,TRUE,210.00,1410.00
115,74,14 Depth Interviews,910.00,TRUE,159.25,1069.25
116,76,Initial 50% payment of N=100 interviews for Asda Romford store,2200.00,TRUE,385.00,2585.00
117,77,Presentation to management team at Interfloor Head Office,350.00,TRUE,61.25,411.25
118,78,Remaining 50% of project fees,2200.00,TRUE,385.00,2585.00
119,79,Focus Group Training for Working Links sites (as proposed),8075.00,TRUE,1413.13,9488.13
120,79,Recruitment of first two groups at GBP425 / group,850.00,TRUE,148.75,998.75
121,79,Cash Incentives for first two groups GBP30 x 18 respondents,540.00,TRUE,94.50,634.50
122,80,Travel to Covent Garden for People Survey Meeting,155.00,TRUE,27.13,182.13
123,81,Initial 50% project fees for UK French Wine Packaging Research,9375.00,FALSE,0.00,9375.00
124,82,First 50% of Nseries PLUS Research Program,108336.00,TRUE,18958.80,127294.80
125,83,Consultant Support on McCains Projects (including Stimulus creation) as quoted,6175.16,TRUE,1080.65,7255.81
126,84,First 50% of Project Look & Feel Underlay Preference Hall Test,3500.00,TRUE,612.50,4112.50
127,85,Final 50% of Project Look & Feel,3500.00,TRUE,612.50,4112.50
128,86,Remaining 50% of consultancy fees,2250.00,TRUE,393.75,2643.75
129,87,Remaining 50% project Fees for UK French Wine Packaging Research,9375.00,FALSE,0.00,9375.00
130,88,Credited Invoice 88 due to VAT error,0.00,FALSE,0.00,0.00
131,89,Fees associated with presenting People Survey findings to Exec Committee in Ascot,600.00,TRUE,105.00,705.00
132,90,Invoice for First Stage Omnibus Survey on Screenwash Brand Health (As quoted),5500.00,TRUE,962.50,6462.50
133,91,Purchase of Competitor Phones in New York,1052.21,TRUE,184.14,1236.35
134,92,Purchase of Competitor Phones for Expressions Project in China & Russia,1904.50,TRUE,333.29,2237.79
135,93,First 50% of Project to cover Project Management; Set up; Stimulus Material & USA Fieldwork,53439.00,FALSE,0.00,53439.00
136,94,Final Stage of Nseries PLUS Studies,105444.51,TRUE,18452.79,123897.30
137,95,Cost associated with re-running 2006 People Survey in London and Birmingham,1900.00,TRUE,332.50,2232.50
138,96,Initial 50% of Project Fees for Interfloor POS Research,1500.00,TRUE,262.50,1762.50
139,97,4 x days consultancy time spent on scoping 2007 Insight Programme,2000.00,TRUE,350.00,2350.00
140,97,Hovels Venue Hire,75.00,TRUE,13.13,88.13
141,97,10 x business lunches for Stategic marketing day,65.00,TRUE,11.38,76.38
142,98,Second Half of Project Fees,53635.00,FALSE,0.00,53635.00
143,99,Attendance at Debrief in Helsinki and Workshop Development as quoted,4834.00,FALSE,0.00,4834.00
144,100,Cancellation Fees for GSQ Project Blogger as Quoted,1450.00,TRUE,253.75,1703.75
145,101,Remaining fees for Interfloor Pilot POS Research,2000.00,TRUE,350.00,2350.00
146,102,6 x days time working on Project Surfer as 2nd Moderator,3000.00,TRUE,525.00,3525.00
147,102,Travel and Refreshment Costs,300.00,TRUE,52.50,352.50
148,103,4 x days additional consultancy support,2000.00,TRUE,350.00,2350.00
149,103,3 x days project liaison with Nunwood,1250.00,FALSE,0.00,1250.00
