Client ID,Client Name,Client Address 1,Client Address 2,Client Address 3,Town,County,Country,Postcode,Telephone,Fax,Website,Client Status,DataEntered,Invoiceaddress1,Invoice address2,Invoiv address3,InvoiceTown,InvoiceCounty,InvoiceCountry,InvoicePostocde,InvAddresssame
92,"Nestlé  UK Ltd",,,,"YORK","North Yorks","","YO91 1XY","01904 604604","","www.nestle.co.uk","Client","10/11/05 09:49:19","",,"","","","","",0
93,"Out of Town Restaurants Group Ltd",,,,"Rotherham","South Yorkshire","","S62 6NU","01709 526520","01709 528598","www.ootr.co.uk","Client","10/11/05 09:54:26","",,"","","","","",0
94,"Working Links (Sheffield)",,,,"Sheffield","South Yorkshire","","S35 2PH","01142 203697","01142 203695","www.workinglinks.co.uk","Client","10/11/05 11:36:42","",,"","","","","",0
234,"McCann Erickson (Leeds)",,,,"Leeds","","","LS20 8BS","01943 484848","","","Client","10/11/05 13:11:52","",,"","","","","",1
235,"Quaestor Research & Marketing Strategists",,,,"LEEDS","","","LS28 5QS","+44 01132057000","","","Client","10/11/05 13:11:52","",,"","","","","",0
236,"QA Research Ltd",,,,"York","","","YO24 1DT","+44 (01904) 632039","","","Client","10/11/05 13:11:52","",,"","","","","",0
237,"B2 Bamforth & Buckley",,,,"LEEDS","","","LS21 2QG","+44 (01943) 468890","","","Client","10/11/05 13:11:52","",,"","","","","",1
238,"The Cog",,,,"Leeds","","","LS7 3QQ","+44 0113 266 5388","+44 0113 266 5432","","Client","10/11/05 13:11:52","",,"","","","","",0
239,"Greencore Cakes & Desserts",,,,"Hull","","","HU7 0XS","+44 (01482) 828280","","","Client","10/11/05 13:11:52","",,"","","","","",0
240,"Kutchenhaus",,,,"Manchester","","","M41 7FN","+44 (0161) 7494110","+44 (0161) 7489317","","Client","10/11/05 13:11:52","",,"","","","","",1
241,"Marketing Judo",,,,"Leeds","","","LS18 5BL","+44 (0113) 2819493","","","Client","10/11/05 13:11:52","",,"","","","","",0
242,"SMT Consulting",,,,"Oxford","","","OX1 1ST","+44 (01865) 797800","","","Client","10/11/05 13:11:52","",,"","","","","",0
243,"Puratos Ltd",,,,"Buckingham","","","MK18 1XT","+44 (01280) 822860","","","Client","10/11/05 13:11:52","",,"","","","","",0
244,"Nokia - Nokia COIN - Product & Services Team",,,,"FARNBOROUGH","","","GU14 0NG","+44 1252 866000","","www.nokia.co.uk","Client","10/11/05 13:22:19","",,"","","","","",0
245,"Criteria Recruitment Ltd",,,,"London","","","Nw3 6AL","+44 02074314366","","","Supplier","10/11/05 13:40:33","",,"","","","","",0
246,"Business Engine, The",,,,"LEEDS","","","LS4 2SE","+44 0113 289 9810","","","Supplier","10/11/05 13:40:33","",,"","","","","",0
247,"Whitneys",,,,"Bradford","","","BD1 4PB","01274 513010","","","Supplier","10/11/05 13:40:33","",,"","","","","",0
248,"",,,,"Leeds","","","LS6 4JU","01132755020","","","Supplier","10/11/05 13:40:33","",,"","","","","",1
249,"Chadwicks",,,,"Ilkley","West Yorkshire","","LS29 8AF","01943 607838","","","Supplier","10/11/05 13:40:33","",,"","","","","",1
250,"B2B",,,,"Stockport.","","","SK7 2BY","01614406000","","","Supplier","10/11/05 13:40:33","",,"","","","","",0
251,"Feedback Market Research",,,,"Sigglesthorne","East Yorkshire","","HU11 5QA","+44 (01964) 536268","","","Supplier","10/11/05 13:40:33","",,"","","","","",0
253,"Spot On Recruitment",,,,"Chipstead","Surrey","","CR5 3PD","+44 01737 559938","","","Supplier","10/11/05 13:40:33","",,"","","","","",0
254,"Fieldwork UK",,,,"","","","","+44 02088923224","","","Supplier","10/11/05 13:40:33","",,"","","","","",0
255,"",,,,"","HERTS","","WD3 4BP","","","","Supplier","10/11/05 13:40:33","",,"","","","","",0
256,"",,,,"Norbiton","Surrey","","KT1 3RD","+44 02085472205","","","Supplier","10/11/05 13:40:33","",,"","","","","",0
257,"",,,,"York","","","YO2 6HS","+44 (01904) 784667","","","Suspect","10/11/05 13:40:33","",,"","","","","",0
258,"Fynbos Computers",,,,"Harrogate","","","HG1 1DH","01423 705535","","","Supplier","10/11/05 13:40:33","",,"","","","","",0
259,"Riteangle.co.uk",,,,"","","","","02071072355","","","Supplier","10/11/05 13:40:33","",,"","","","","",0
260,"Minuteman Press",,,,"","","","","01423 701170","","","Supplier","10/11/05 13:40:33","",,"","","","","",0
261,"Patio, El",,,,"Madrid","","","28013","+34 (91) 360 42 42","","","Supplier","10/11/05 13:40:33","",,"","","","","",0
262,"WQRC",,,,"","FRANCE","","","01 39 16 94 26","","","Supplier","10/11/05 13:40:33","",,"","","","","",0
263,"Research International Qualitatif",,,,"","","","","+44 (0) 20 7656 5251","","","Supplier","10/11/05 13:40:33","",,"","","","","",0
264,"Research Now",,,,"London","","","SW8 1RL","020 7091 7800","","www.researchnow.co.uk","Supplier","11/11/05 16:25:05","",,"","","","","",0
265,"Ideas+Visions Ltd",,,,"Hatfield","Herts","","AL10 9NA","0870 3517 632","0870 3517 633","www.ideasandvisions.com","Client","11/11/05 16:30:42","",,"","","","","",0
266,"MRI Heidelbberg",,,,"","GERMANY","","","+49 (0) 6221138980","+49 (0) 62211389810","","Supplier","11/11/05 16:44:05","",,"","","","","",0
267,"4 AM",,,,"LEEDS","West Yorks","","LS18 5AZ","0113 2293333","","","Prospect","11/11/05 16:46:06","",,"","","","","",0
268,"Brantano Footwear",,,,"Coalville","Leicestershire","","LE67 1LD","01530 516147","","","Prospect","11/11/05 16:48:29","",,"","","","","",0
