Client ID,Contact ID,JobNumber,Project Name,Job Description,Key Buzzz Contact,Invoice Schedule,Job Status,Reason for fail,Projecttype,Total Charge Out,Total Project Costs,Total Margin,Margin percent,DateEntered,Total Actual Costs,Toal Actual margin,Totalactualmargin%,variance,variance%,calcoldway
92,56,11027,"Project Wand","Polo Magic Circle Promotion Concept Research","Chris",,"Completed Job","","Quant",,3135.0000,5865.0000,0.651667,"11/14/05 12:51:30",,,,,,1
239,20,11028,"Project Trends","Qualitative Investigation of Birthday Cake Purchasing and the role of licensed Products","Alan",,"Completed Job","","Qual",,4400.0000,9750.0000,0.689046,"11/14/05 15:47:36",,,,,,1
239,20,11029,"White Icing","Christmas Cakes Research for 2005","Alan",,"Failed proposal","Decided not to undertake the work","Qual",,1960.0000,8040.0000,0.804000,"11/14/05 15:53:54",,,,,,1
303,105,11030,"Project Benefits","Employee Benefits Internet Research","Chris",,"Completed Job","","Quant",,2750.0000,3200.0000,0.537815,"11/15/05 11:25:04",,,,,,1
94,10,11031,"Project Linkback","Jobseeker Satisfaction Research - Initial benchmark study","Chris",,"Completed Job","","Quant",,13252.0000,10908.0000,0.451490,"11/30/05 10:12:32",,,,,,1
244,32,11032,"N70 Plus","N70 Plus Study","Alan",,"Completed Job","","Qual",,25000.0000,30000.0000,0.545455,"12/01/05 12:01:35",,,,,,1
236,22,11033,"20905 Research Support","2 Days of Consultant Support for QA Research (as agreed)","Alan",,"Completed Job","","Consultancy",,0.0000,1000.0000,1.000000,"12/05/05 10:26:05",,,,,,1
243,30,11034,"30505 Project Artisan Final Stage","Final Invoice for Bread & Patisserie Study","Alan",,"Completed Job","","Qual",,3000.0000,6155.0000,0.672310,"12/07/05 12:03:28",,,,,,1
94,10,11035,"life responses","Data capture and analysis if life survey responses","Chris",,"Failed proposal","ÿþDecided not to proceed","Quant",,404.0000,1021.0000,0.716491,"12/09/05 14:29:40",,,,,,1
239,21,11036,"Project Indulgence","Category Research for Desserts Category","",,"Failed proposal","ÿþAll went too quiet!","Qual and Quant",,3500.0000,16500.0000,0.825000,"12/16/05 16:50:11",,,,,,1
305,108,11037,"TMB Communications Audit","Workshop to Audit Communications for The Mortgage Business","Alan",,"Failed proposal","ÿþClient Cancelled","Consultancy",,800.0000,5200.0000,0.866667,"12/22/05 10:14:12",,,,,,1
241,28,11038,"Sequel","Stage 2 of The Real Bradford Curry Company","Alan",,"Failed proposal","","Qual",,1850.0000,0.0000,0.630000,"12/22/05 10:25:02",,,,,,1
92,110,11048,"Project Lizard","Project lizard - KK4 Packaging Impact test","Chris",,"Failed proposal","Other agency was more cost competitive and had more pack impact expeience","Quant",,3973.0000,5927.0000,0.598687,"02/21/06 15:24:08",,,,0.0000,0.000000,0
308,,11049,"Project Easyfeet","Building a Value proposition for Underlay","Alan",,"Completed Job","","Qual and Quant",,9130.0000,12540.0000,0.578680,"03/13/06 19:43:38",,,,0.0000,0.000000,0
280,0,11051,"Carbon Trust Media Analysis","Analysis of Media and Enquiry campaign","Chris",,"Completed Job","","Consultancy",,0.0000,0.0000,1.000000,"03/17/06 12:29:03",,,,0.0000,0.000000,0
244,32,11052,"N90 PLUS Study","Job carried over from old system 10805","Alan",,"Completed Job","","Qual",,8670.0000,8830.0000,0.504571,"03/28/06 19:08:09",,,,0.0000,0.000000,0
236,22,11053,"City & Guilds","Consultancy Support for City & Guilds Segmentation Study","Chris",,"Completed Job","","Consultancy",,75.0000,4425.0000,0.983333,"03/31/06 17:16:46",,,,0.0000,0.000000,0
94,10,11054,"People Satisfaction","People Satisfaction Study - Online Project amongst Working Links People","Chris",,"Completed Job","","Quant",,2500.0000,7500.0000,0.750000,"03/31/06 17:21:28",,,,0.0000,0.000000,0
94,10,11055,"Parkhead Social Impact Study","Evaluation of the Impact Following the Working in Neighbourhoods Scheme","Alan",,"Completed Job","","Qual",,4000.0000,8000.0000,0.666667,"03/31/06 17:28:00",,,,0.0000,0.000000,0
94,10,11056,"Birmingham Client Satisfaction Booster","Additional interviews for Birmingham Satisfaction Study","Chris",,"Completed Job","","Quant",,1500.0000,1000.0000,0.400000,"04/04/06 14:43:29",,,,0.0000,0.000000,0
94,10,11057,"2006/2007 Research Programme","2006/2007 Research Programme","Chris",,"Completed Job","","Qual and Quant",,49922.0000,55215.0000,0.525172,"04/18/06 16:48:48",,,,0.0000,0.000000,0
94,117,11058,"North West Task Force","Consultancy Support for Data Provision to aid Decision Making","Chris",,"Completed Job","","Consultancy",,0.0000,0.0000,1.000000,"04/21/06 16:41:29",,,,0.0000,0.000000,0
308,116,11059,"Project Broker","Depth Interviews with FSA Brokers","Alan",,"Completed Job","","Qual",,1510.0000,490.0000,0.245000,"05/05/06 10:24:25",,,,0.0000,0.000000,0
236,0,11060,"RSD Support","Consultancy Support for RSD Position","Alan",,"Proposal","","Consultancy",,0.0000,0.0000,1.000000,"05/05/06 11:00:49",,,,0.0000,0.000000,0
239,21,11061,"Ronnie Barker","Investigation of Porridge (Ready to Eat) Formats","Chris",,"Failed proposal","Decided not to spend anything on porridge!! End of financial year and budgets are tight!","Quant",,0.0000,0.0000,1.000000,"05/09/06 17:12:11",,,,0.0000,0.000000,0
310,0,11062,"Crackerjack","Jacob's Strategic Positioning Qualitative Project","Alan",,"Failed proposal","Awarded to competitor they had used before. Close run thing - we made less mention of the Communications testing apparently. Impressed a few people at UB though - WARM prospect.","Qual",,19860.0000,15140.0000,0.432571,"05/16/06 16:53:55",,,,0.0000,0.000000,0
94,10,11063,"Moderator Training","To provide Focus Group Moderation Training to Working Links Staff","Alan",,"Completed Job","","Training",,6850.0000,5150.0000,0.429167,"05/19/06 14:09:00",,,,0.0000,0.000000,0
308,116,11064,"Interfloor - Pilot Study Exit Interviews","N=100 exit interviews across 5 of the pilot stores","Chris",,"Completed Job","","Quant",,1800.0000,1700.0000,0.485714,"06/12/06 11:36:53",,,,0.0000,0.000000,0
94,35,11065,"Employers Campaign Research","Using Test Concepts to Explore Working links Brand Vaues amongst an Employer Target Audience","Alan",,"Failed proposal","Working Links not prepared to pay for research. Hird now proposing quant research that they'll pay for - outlined under job no 11075","Qual",,3750.0000,4750.0000,0.558824,"06/12/06 12:09:01",,,,0.0000,0.000000,0
244,32,11066,"N80 PLUS","PLUS Study for N80 across 3 markets","Alan",,"Failed proposal","ÿþSuperseeded by new Plus Contract","Qual",,50302.0000,36887.0000,0.473277,"06/14/06 13:08:17",,,,0.0000,0.000000,0
313,124,11067,"ASDA Romford Telephone Research","N=100 telephone interviews to determine reasons for underperformance of Asda store in Romford","Chris",,"Completed Job","","Quant",,2020.0000,2380.0000,0.540909,"06/16/06 15:11:08",,,,0.0000,0.000000,0
332,146,11068,"Management Presentation","Quant presentation to management team","Chris",,"Completed Job","","Quant",,48.0000,302.0000,0.862857,"06/22/06 09:46:10",,,,0.0000,0.000000,0
94,10,11069,"Client Tracking Pilot","Brand Tracking Amonst Pilot Prospective Clients - Pilot Study","Chris",,"Failed proposal","","Quant",,0.0000,0.0000,,"06/22/06 10:50:08",,,,0.0000,,0
333,147,11070,"Nouveaux","Packaging Test for New French Wine Products","Chris",,"Completed Job","","Quant",,8100.0000,10650.0000,0.568000,"06/30/06 15:33:08",,,,0.0000,0.000000,0
334,149,11071,"Journey","Customer Satisfaction Measurement","Alan",,"Failed proposal","","Qual and Quant",,12550.0000,22450.0000,0.883256,"06/30/06 15:38:15",,,,0.0000,0.000000,0
244,152,11072,"Expression","Product Portfolio Research","Alan",,"Completed Job","","Qual",,72710.0800,43047.1300,0.371874,"06/30/06 15:52:38",,,,0.0000,0.000000,0
241,0,11073,"APS Credit Card Services","Investigation of Credit Card Services for APS & Mastercard","Alan",,"Failed proposal","Went to other agency commissioned by Mastercard","Qual",,24950.0000,8050.0000,0.243939,"07/04/06 16:55:44",,,,0.0000,0.000000,0
,0,11074,"Project Dalesman","Readership Research for The Dalesman","Alan",,"Intial interest registered
Briefing meeting
Proposal
Current Job
Completed Job
Intitial interest registered","","Qual and Quant",,4780.0000,7720.0000,0.617600,"07/19/06 11:00:41",,,,0.0000,0.000000,0
313,124,11075,"EmployerTrack","Working Links Employer Campaign Pre and Post Tracking","Chris",,"Failed proposal","ÿþHird didn't get the work.","Quant",,4100.0000,4400.0000,0.517647,"07/20/06 15:24:42",,,,0.0000,0.000000,0
238,19,11076,"McCains Pub Eating","Consultant Support for McCains Pub Eating Project - 3 workshop and debrief sessions","Alan",,"Completed Job","","Consultancy",,500.0000,5675.1600,0.919030,"07/27/06 07:19:55",,,,0.0000,0.000000,0
244,159,11077,"PLUS Studies","2006 PLUS Study Pitch","",,"Completed Job","","Qual and Quant",,0.0000,0.0000,1.000000,"07/27/06 15:10:06",,,,0.0000,0.000000,0
94,10,11078,"London People Survey Meeting","Meeting at Covent Garden for People Survey","Chris",,"Completed Job","","Quant",,155.0000,0.0000,0.000000,"07/28/06 09:52:19",,,,104.0000,0.000000,0
336,151,11079,"Global Refund","Global Refund International Project","Chris",,"Failed proposal","Company decided not to proceed with ad agency who asked us for proposal.","Qual and Quant",,80000.0000,95000.0000,0.542857,"07/28/06 11:03:22",,,,0.0000,0.000000,0
303,155,11080,"Pathway","Assessing Needs and Barriers to Agency Support amongst IB Claimants","Alan",,"Failed proposal","Client didn't get shortlisted for any of the tenders.","Qual",,7955.0000,22045.0000,0.734833,"08/08/06 17:00:18",,,,0.0000,0.000000,0
339,154,11081,"UKWelcome","Examining The Welcome Experienced by Overseas Visitors to Britain","Chris",,"Failed proposal","Went with another agency because we were too expensive.","Qual",,0.0000,0.0000,,"08/24/06 11:08:12",,,,0.0000,,0
332,146,11082,"Look & Feel","Perceptions of Underlay Variants","Chris",,"Completed Job","","Quant",,3500.0000,3500.0000,0.500000,"09/07/06 15:09:06",,,,0.0000,0.000000,0
335,150,11083,"Jobstoday Tracking","Initial Benchmark and Ongoing Brand Tracking","Chris",,"Failed proposal","ÿþAgency didn't get the work","Quant",,41325.0000,29725.0000,0.418367,"09/13/06 14:28:30",,,,0.0000,0.000000,0
335,150,11084,"Jobs Today Creative Qualitative Project","Testing Creative Concepts amongst Active Job Seekers","Alan",,"Failed proposal","ÿþDecided not to do it.","Qual",,1880.0000,2120.0000,0.530000,"09/19/06 12:38:15",,,,0.0000,0.000000,0
313,124,11085,"Pride","NPD Development Work for Selden / Decosol","Chris",,"Current job","","Qual and Quant",,3300.0000,2200.0000,0.772414,"10/03/06 15:42:25",,,,0.0000,0.000000,0
308,115,11086,"Fitter","Exploring the Degree of Influence Fitters have in Independent Retail Sector","Alan",,"Failed proposal","","Qual",,630.0000,3870.0000,0.860000,"10/10/06 13:48:18",,,,0.0000,0.000000,0
313,124,11087,"Volvo Dealer Interviews","Depth Interviews with Volvo Sales Managers responsible for In Car Telephone Sales in UK; Holland; Italy; Germany; Spain; France","Alan",,"Failed proposal","Lack of Budget and time from their client","Qual",,2500.0000,12500.0000,0.833333,"10/11/06 10:25:02",,,,0.0000,0.000000,0
313,124,11088,"Project Snoop","Research Programme in advance of launch of Motorola Music Phone","Chris",,"Failed proposal","","Qual and Quant",,25340.0000,60160.0000,0.703626,"11/02/06 09:56:00",,,,0.0000,0.000000,0
236,22,11089,"C&G 2","Additional days on C&G segmentation project","Chris",,"Completed Job","","Consultancy",,2.0000,3498.0000,0.999429,"11/03/06 16:42:55",,,,0.0000,0.000000,0
