Client ID,Contact ID,JobNumber,Project Name,Job Description,Key Buzzz Contact,Invoice Schedule,Job Status,Reason for fail,Projecttype,Total Charge Out,Total Project Costs,Total Margin,Margin percent,DateEntered,Total Actual Costs,Toal Actual margin,Totalactualmargin%,variance,variance%,calcoldway
92,56,11027,Project Wand,Polo Magic Circle Promotion Concept Research,Chris,100% up front,Completed Job,,Quant,9000.00,3135.00,5865.00,0.651666667,11/14/05,,,,,,TRUE
239,20,11028,Project Trends,Qualitative Investigation of Birthday Cake Purchasing and the role of licensed Products,Alan,50/50,Completed Job,,Qual,14150.00,4400.00,9750.00,0.689045936,11/14/05,,,,,,TRUE
239,20,11029,White Icing,Christmas Cakes Research for 2005,Alan,50/50,Failed proposal,Decided not to undertake the work.,Qual,10000.00,1960.00,8040.00,0.804,11/14/05,,,,,,TRUE
303,105,11030,Project Benefits,Employee Benefits Internet Research,Chris,100% upon completion,Completed Job,,Quant,5950.00,2750.00,3200.00,0.537815126,11/15/05,,,,,,TRUE
94,10,11031,Project Linkback,Jobseeker Satisfaction Research - Initial benchmark study,Chris,100% up front,Completed Job,,Quant,24160.00,13252.00,10908.00,0.451490066,11/30/05,,,,,,TRUE
244,32,11032,N70 Plus,N70 Plus Study,Alan,,Completed Job,,Qual,55000.00,25000.00,30000.00,0.545454545,12/01/05,,,,,,TRUE
236,22,11033,20905 Research Support,2 Days of Consultant Support for QA Research (as agreed),Alan,100% upon completion,Completed Job,,Consultancy,1000.00,0.00,1000.00,1,12/05/05,,,,,,TRUE
243,30,11034,30505 Project Artisan Final Stage,Final Invoice for Bread & Patisserie Study,Alan,100% upon completion,Completed Job,,Qual,9155.00,3000.00,6155.00,0.672310213,12/07/05,,,,,,TRUE
94,10,11035,life responses,Data capture and analysis if life survey responses,Chris,100% up front,Failed proposal,Decided not to proceed,Quant,1425.00,404.00,1021.00,0.716491228,12/09/05,,,,,,TRUE
239,21,11036,Project Indulgence,Category Research for Desserts Category,,,Failed proposal,All went too quiet!,Qual and Quant,20000.00,3500.00,16500.00,0.825,12/16/05,,,,,,TRUE
305,108,11037,TMB Communications Audit,Workshop to Audit Communications for The Mortgage Business,Alan,50/50,Failed proposal,Client Cancelled,Consultancy,6000.00,800.00,5200.00,0.866666667,12/22/05,,,,,,TRUE
241,28,11038,Sequel,Stage 2 of The Real Bradford Curry Company,Alan,100% upon completion,Failed proposal,,Qual,5000.00,1850.00,0.00,0.63,12/22/05,,,,,,TRUE
92,110,11048,Project Lizard,Project lizard - KK4 Packaging Impact test,Chris,100% upon completion,Failed proposal,Other agency was more cost competitive and had more pack impact expeience,Quant,9900.00,3973.00,5927.00,0.598686869,02/21/06,0.00,9900.00,1.00,3973.00,0.401313131,FALSE
